artist,id,title
'David Axelrod',1e24e3DVrzdvFWdzDfHZLL,'Holy Are You'
'David Axelrod',2L7l7w23YGMzojp5LdFUks,'The Warnings Part I'
'David Axelrod',10OykY8ryGVEY6tSvxB95H,'Miles Away'
'Alice Coltrane',575o6fSPk6tBAkiumpboUT,'Vrindavana Sanchara'
'Alice Coltrane',5dwnM2V9n3axiktPG9YceZ,'Transcendence'
'David Axelrod',3Rpw2gaNCJtNC8j41ThhRL,'Song Of Innocence'
'Donny Hathaway',2alDGjN4yjJgkSSeoCCGae,'Superwoman'
'Alice Coltrane',2gG3ivmsfylVXLyIJvLXyN,'Journey In Satchidananda'
'Alice Coltrane',3zn9GxQ0OC4h4HiI04N76M,'My Favorite Things'
'David Axelrod',6jdj5XQyk8eHs9Tisfgd61,'The Signs Part One - Instrumental'
'Sun Ra',2MHjnt71WMnfaPL67p57ki,'Somebody Else's World'
'David Axelrod',7Mn2rm9sXimTZPsDzu49fj,'The Sick Rose'
'Sun Ra',1hpdVGEaZovrlcnY0Yqcc9,'Space is the Place'
'JAWNY',6JqYhSdTE4WbQrMXxPH5cD,'Honeypie'
'Morabeza Tobacco',6iSZE9qLAwXZ4SUIR87O7h,'Ally McBeal'
'Omar Apollo',4luBGXcgpFQPPAtcF4zEdv,'Erase'
'boy pablo',4zvHZWOGyL7WcmqHOgtGCW,'Everytime'
'Inner Wave',5ac9xtBIyhpsPqqH7dBVQ2,'Six AM'
'Still Woozy',1M321puDN1WBd5NF0ogOKW,'Habit'
'Gus Dapperton',4a6r6d9mfcUQbOnrGf8jAV,"'Prune, You Talk Funny'"
'Yuno',7rig9YRhho4jJ2LBMGekfj,'No Going Back'
'Children of Zeus',4Wm7um6Da9cDCoG66eAubX,'Still Standing'
'Bobbi Humphrey',47NMCOYpBEIAEV2gEckDG2,'San Francisco Lights'
'Lonnie Liston Smith and the Cosmic Echoes',7sCMQE7gCsClpILzAxD0zG,'Shadows'
'Norman Connors',3Q2Ec2C59fnmp6gUqGDqB2,'Give the Drummer Some'
'Eddie Kendricks',2dcssVSC1OiONrbqAyUTqb,'If You Let Me'
'Lonnie Liston Smith and the Cosmic Echoes',1ZYZ4o9TBLLjn88RoPGPaV,'Colors of the Rainbow'
'Norman Connors',3sVODIIVMyodcEyk6k4OIL,'Revelation'
'Ohio Players',5i7zv2DrOufmkJGtUkZxML,'Here Today And Gone Tomorrow'
'Cold Blood',33hdeI6o9uVO2EF3VeSWHG,'I'll Be Long Gone'
'Norman Connors',7GVmyLNfSI8ul2MkhDSKmi,'The Creator Has a Master Plan'
'Norman Connors',6ggIsYFxj26A5CYT3VwEqP,'Once Again'
'Lonnie Liston Smith and the Cosmic Echoes',3XEtovjSgKgpjZgMwTmMDe,'Sunset'
'Norman Connors',4dNUbZOgL8gg34dtHuLmJ6,'Invitation'
"'Johnny ""Hammond"" Smith'",6gl6UQNfWLzJTW9q7ZGj6k,'Theme From N.Y.P.D.'
'Freddie Gibbs',5jqpm69UgQa1OSNhj8rjn4,'Half Manne Half Cocaine'
'Freddie Gibbs',4JnnZWtx4XB14vUX2MIh9I,'Fake Names'
'Freddie Gibbs',7GzeP9yVzP83FZSRmJJxL8,'Situations'
'Chance the Rapper',4NBQVFmu2R7lmRU3yoSMm4,'Everybody's Something'
'Chance the Rapper',5v2ePUTZiv1mPDCD1nSbfF,'Lost'
'Chance the Rapper',6Oe5tmI1bfguCp6dKHbSj6,'Paranoia'
'Chance the Rapper',2f4K9nhN2RaRsMGaXTO3zt,'Everything's Good (Good Ass Outro)'
'Chance the Rapper',7nrraHMpSbyJJoN3unjjoJ,'Interlude (That's Love)'
'Chance the Rapper',1sFstGV1Z3Aw5TDFCiT7vK,'Favorite Song'
'Chance the Rapper',3VhGbMpUONRwUIvgFoF14b,'Juice'
'Freddie Gibbs',4JnnZWtx4XB14vUX2MIh9I,'Fake Names'
'Freddie Gibbs',7r9HZwjUZezpQpW4ToiEFL,'Obrigado'
'Freddie Gibbs',5jqpm69UgQa1OSNhj8rjn4,'Half Manne Half Cocaine'
'Sango',7eVlEePqne6i0R6elfSoWs,'The Differences (Diferenças) [Reprise]'
'Kill Bill: The Rapper',1AAMj0EJJdOkErtr4HtEhS,'Black Coffee'
'Kamasi Washington',1fVnfe7IsSH1c23Km8UijT,'The Rhythm Changes'
'Matty',77eVSkS0pL9uflg8qytEAH,'Embarrassed'
'Yves Jarvis',2fzK1mbS6V9UXQQ8reSjXH,'Nerve For The Ages'
'Niko Is',7tEt4Fpr81zPUntqZ11MFW,'Cherry Beamer Dreaming'
'Butcher Brown',5uDAdb4PmHC78HWc6soIcy,'Sticky July'
'Fantasy Guys',3fKOMqJToZH96WgR8zzN7h,'Bae Caught Me Vapin''
'LAKE',7sHP57vsjXFtTq50Nmk7h0,'Madagascar'
'MT. OSSA',566hhsWA29qDQ7cbUcSRFL,'Love Jam'
'bLAck pARty',2FUHFEMdXa930HlZVooFPn,'Summer Love'
'Enjoy',2Ne57GlB6oabd4U9zGifFm,'You Mean a Lot'
'Enjoy',6ZgvyKEAKfWWBxJxOZu5DH,'Freedom Is A Burden'
'Enjoy',318ctJYVKap1mBAfrVzUa5,'Small Car Big Wheels'
'Enjoy',5iRK9c3fwwXP1vhqJv9Y16,'Mechanical People'
'Enjoy',7DgbMwxIaNt27nxKfh2E4L,'The Golden State'
'Enjoy',28Y6brcKXutMDz3Qm8p0IX,'D.I.M.'
'Louis Cole',32Kg7L3mgzcekEo7z9pypH,'Below The Valleys'
'Travis Bretzer',2C7qQ7cNqtNwA2YDKLs7ss,'Did U Ever Notice'
'Ivan Ave',5zh96qNYrilrY5M2EWchmz,'Young Eye'
'James Pants',2qyVRwlm2AG8RUWhP7lhHq,'We're Through'
'Esperanza Spalding',4qweq7Zp2QnST0lC9WchKA,'Judas'
'Illa J',6EaNEcInL9XVCBNSdrlmDI,'All Good'
'Keita Juma',5LUDpuNwje6oFPJjKDM5GL,'Calm. Chi'
'Declaime',7dDYobgpyZzWdOFdzoOkNp,'Whole Wide World'
'Knox Brown',1jSgTCWjLODmEQ4kILxSL9,'The People'
'Iris Temple',6DPhe5M1oakivemgBSrUNG,'Theatre'
'Mild High Club',2spGnvdnAPdGcqYC8ZGasK,'The Chat'
'Paul Simon',1RkASGekurX1rRNucZYwI3,'Stranger'
'N.E.R.D',5HBcMAMVgBVUWiLyiK7q4I,'Deep Down Body Thurst'
'Enjoy',5sF6gFJURoe9QZzAzI5Qhq,'Smooth (R3mix)'
'Enjoy',61JSw3TTv8DAPy4Dc0P6XX,'Give Me Something'
'Ty Segall',3nrUi7YGFsPvsLJ6LqomFh,'Warm Hands'
'Charles Wright & The Watts 103rd Street Rhythm Band',4pW3aTX3kAmOaPJfc9UM12,'Express Yourself'
'Pharoah Sanders',27nBZdfME9YycFVY4Pm7hX,'The Golden Lamp'
'Dorothy Ashby',5BRLYme9F2CS6jpNkKE7vh,'Nabu Corfa'
'Suff Daddy',3dqcRnxc2vIMZfIOi0lOd3,'Suff Gucci'
'Opossom',3l8R5cWibB5PQHRiNrWwLu,'Blue Meanies'
'Inner Wave',4YLTFu7iyC3q34dvf5hRDq,'Eclipse'
'The Sleepy Jackson',4lkfU7mlHJIHVi2jYCIcO0,'Good Dancers'
'Pond',5nOu5ziA8RUJNtW9f2CSW7,'The Weather'
'King Tuff',1IhwgE6kkq953dMGzPNAgF,'Ultraviolet'
'Unknown Mortal Orchestra',49UBmvRSxLa2Oq6HkYKovK,'Multi-Love'
'Post Animal',7pEDJ91Czg5TJUcLsb1sZC,'Gelatin Mode'
'Noir Disco',1CGFnr9tRbnHQh1ZrQk620,'Escapade'
'Yeek',3RNHSxHnAIdMAHtMsVNqlS,'Cleaner Air'
'Soft Glas',6CCgo4BGBNpsUFUm1PngK9,'Perks of Being a Sunflower'
'Zack Villere',2iFiwkAEBPtQKk8xmHFJwN,'Leaf'
'boy pablo',5ZGidWqM4SKev5YSnFH9RK,'Never Cared'
'Yeek',54oNYGC5Sh6ZkvlsLYjPpC,'Car Window'
'King Gizzard & The Lizard Wizard',6noO9CZ5n12LwPFKHPAttL,'Beginner's Luck'
'Pond',4rNisH8DYkeaOk0ue1tbQH,'Sixteen Days'
'All Them Witches',53wEWsjRb8gjZ7xr8BLzZu,'Bulls'
'Nick Murphy',7Maw2TdttKzHOuJwg4edfj,'Your Time'
'Koriass',2hulCQtd1yHaTT19RAaplD,'Quinze minutes'
'Mary J. Blige',6LOWgH9NaSheAz0U4b7uQL,'Telling The Truth'
'KAYTRANADA',5oeS3dSlmGmYbGqCGnWQXK,'195'
'Freddie Gibbs',4Zp6Syo0VXFKrumB9XvA4G,'My Dope House - Prod. by Kaytranada'
'Barnes Blvd.',2DrrxuNOhnpqJXLH36eR1S,'Joan of Arc.'
'HOMESHAKE',5fBamKoQ3aXwQpe2Cch8K6,'Call Me Up'
'Mild High Club',6JZv5f9ufV0Uz7VbGpd2DL,'Skiptracing'
'Mild High Club',7pegxVesMmE2qK0o58xoFG,'Homage'
'Connan Mockasin',7kYsFB2Zp8JRI2ESlQZIJG,'Con Conn Was Impatient'
'Gucci Mane',6xY6NW0mV6IxxP4criYuoM,'Have It All (Feat. Pharrell)'
"'The Last Artful, Dodgr'",6r2MnFI3tsu9EX16eiIoyp,'Mornin Dew'
'Oscar Jerome',5H4mqQFcgN0LjOkLTwUMIO,'Chromatic Descendants'
'Gold Celeste',5DvFKfueR4ds2aNxMxMlo2,'Can of Worms'
'Holy Forest',60lqD2feVf0gw36nreA2E1,"'Africa Calling (feat. Preachermann, Tata Din Din & the Antibalas Horns)'"
'Ameer Vann',7xIBKYHW0iZJfb6eKWLaLd,'High Tolerance'
'Nubiyan Twist',3cC4TINErPyxCWtSN9w32h,'Figure Numatic'
'Flo Morrissey',3rJWuc53MmmGSMVGPZKynS,'Everybody Loves the Sunshine'
'Rare Silk',1cotJPbhAMOdrGqwi4BBEL,'Storm'
'Galt MacDermot',7JxNCDjLQnV2HJ7Z3ySRRQ,'Cathedral'
'JuJu Rogers',6Bx4JNMJaAljZ8pMgpvdc9,'Get Lost (feat. Regis Molina)'
'Minimal Man',27QsiQIp9enYFoOfiAnvii,'Pull Back the Bolt'
'Chaz Bundick Meets The Mattson 2',3Ht7WBT6Qj5dqLIQWfwcW8,'A Search'
'Dalton',1F1LWifaWA9NU1wPZNwJhU,'Soul Brother'
'J-Love',44f1tAzyMvJ0He7G2QcILx,"'Get Lifted (feat. TAKE-IT, Action Bronson, Killa Sha, Prince Ug, TAKE-IT, Action Bronson, Killa Sha, PRINCE-ORIGINAL, TAKE-IT, Action Bronson, Killa Sha, Prince Ug, TAKE-IT, Action Bronson, Killa Sha & PRINCE-ORIGINAL)'"
'オノシュンスケ',7sYCSpjzAAZ0IYLnWm4fXj,'ディスコって'
'Gucci Mane',6xY6NW0mV6IxxP4criYuoM,'Have It All (Feat. Pharrell)'
'The Deli',4ijwRNrJHhEPt1CNIzNG5E,'Fractals'
'Ovall',3XTSVcS7PAcPRH3UezID60,'Stargazer'
'Kazam',2S36OuK8PYZkkLkled3GAd,'swag on'
'Tom Morello',79DQcqdOuzHH5g0fI8KShf,'Can't Stop The Bleeding (feat. Gary Clark Jr. & Gramatik)'
'Tech N9ne',65IvWhK14TU42ynBkg4IfU,'No Gun Control'
'Francis and the Lights',1m8rA6hxTs1PyhncuAPLBi,'The Top'
'Larry Graham',7eYCfWI5g5QHfCZ27gny1E,'Stand Up and Shout About Love'
'Jamila Woods',1m0h3R7ypXe4oddXKF785J,'HEAVN'
'Xenia Rubinos',1LfbwxIEBciSsbfbOutRBU,'Lonely Lover'
'TOSHIO MATSUURA GROUP',4t0erY7XaFLEBBWVYzu3GG,'DO THE ASTRAL PLANE'
'Camp Lo',6QYrTHPz86JTy0R3sTMNJy,'Bubblin''
'Bacao Rhythm & Steel Band',7Fg3xBSNj3vbDFBGRynYx7,'Round & Round'
'The Physics',6CDYPqbynsiaK8Vwr14mU0,'Northern Lights'
'infinite bisous',3n8AnbWYvnpRSoRHGmpBv3,'The Past Tense'
'Ravyn Lenae',7K6iiGbqmOhWFqjj0bvTKL,'Venezuela Trains'
'King Garbage',49EYNmv1WHRyVDjc491EQt,'Lost in the Sauce'
'Jimmy Whoo',2CsMkD2uZy0uImKMq7Xa3S,'Long Time No See'
'HOMESHAKE',45EsvLplQ5uF9HlAk9KzQL,'Move This Body'
'Mild High Club',4DD08d0HLC2TxUKfTTj39F,'Kokopelli'
'Vansire',4RJ7bQURWb2ZEUwGOxYd2P,'Father's Ramble'
'Mild High Club',7qPdc4CH1GGZaHBImyoZ69,'Tesselation'
'Jay Som',2dH6JDf5L4kQnDAtxBNeio,'The Bus Song'
'Her's',1XrSjpNe49IiygZfzb74pk,'What Once Was'
'upper class',4uMLF9aSH98vCSSI9mko29,'Atlantic.wav'
'Jean Grae',5R8J6WCnV1E2lDJgVoaA4P,'Threats'
'Quadry',3OL4SqC49GzFQ6OshxNUr0,'1:04 PM'
